Term;Alice’sAdventuresinWonderland.txt;ATaleofTwoCitie.txt;Frankenstein.txt;HeartofDarkness.txt;MobyDick.txt;PrideandPrejudice.txt;SherlockHolmes.txt
Devoutly;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
loadstone;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
motive;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
adrift;"0,000000";"0,000000";"0,000151";"0,000000";"0,000321";"0,000000";"0,000000"
colouring;"0,000000";"0,000000";"0,000000";"0,000000";"0,000053";"0,000526";"0,000000"
Islands;"0,000000";"0,000000";"0,000151";"0,000000";"0,000321";"0,000000";"0,000000"
Age;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
hauteur;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000621";"0,000000"
monstrously;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
wheelbarrow;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
conducive;"0,000000";"0,000104";"0,000151";"0,000000";"0,000000";"0,000000";"0,000000"
effeminacy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
umbrella;"0,000000";"0,000000";"0,000000";"0,000128";"0,000101";"0,000000";"0,000172"
him—what;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
quarters;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
plotting;"0,000000";"0,000313";"0,000000";"0,000203";"0,000000";"0,000000";"0,000000"
perilously;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
is—“How;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
poignant;"0,000000";"0,000000";"0,000534";"0,000000";"0,000000";"0,000000";"0,000000"
creeps;"0,000000";"0,000104";"0,000000";"0,000000";"0,000053";"0,000000";"0,000000"
goadings;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Aha;"0,000000";"0,000000";"0,000000";"0,000359";"0,000000";"0,000000";"0,000000"
creepy;"0,000000";"0,000000";"0,000000";"0,000718";"0,000000";"0,000000";"0,000000"
executioner’s;"0,000663";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Induced;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
Preble;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
uglifying;"0,000663";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
breadth;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
