Term;HeartofDarkness.txt;SherlockHolmes.txt;Frankenstein.txt;PrideandPrejudice.txt;ATaleofTwoCitie.txt;Alice’sAdventuresinWonderland.txt;MobyDick.txt 
Paddington;"0,000000";"0,000869";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
“Tintern;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Birchmoor;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
discomfited;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
locus;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
floods;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
“Many;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Clock;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
urge;"0,000000";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000000"
slab;"0,000000";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Munro;"0,000000";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
WHATEVER;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000341";"0,000000"
unnamable;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
music;"0,000000";"0,000497";"0,000823";"0,001914";"0,000569";"0,001022";"0,000195"
counsellor;"0,000000";"0,000124";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
amain;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
famine;"0,000000";"0,000000";"0,000274";"0,000000";"0,000190";"0,000000";"0,000097"
felons;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Squeeze;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
felony;"0,000000";"0,000372";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
backstays;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
agreeable;"0,000000";"0,000000";"0,000686";"0,007179";"0,000853";"0,000000";"0,000049"
behaving;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
sensations;"0,000000";"0,000124";"0,004252";"0,000479";"0,000000";"0,000000";"0,000097"
selection;"0,000000";"0,000124";"0,000000";"0,000000";"0,000190";"0,000000";"0,000146"
science;"0,001107";"0,000248";"0,003841";"0,000160";"0,000000";"0,000000";"0,000243"
“Stay;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
protracted;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000097"
agreeably;"0,000000";"0,000000";"0,000000";"0,000479";"0,000000";"0,000000";"0,000000"
Continents;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
damps;"0,000000";"0,000000";"0,000274";"0,000000";"0,000000";"0,000000";"0,000000"
wrenched;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000292"
brusque;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
gauntlets;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
scratches;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
musky;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000146"
Glen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
repressing;"0,000000";"0,000000";"0,000000";"0,000160";"0,000095";"0,000000";"0,000000"
observatory;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
hungry;"0,000738";"0,000248";"0,000274";"0,000000";"0,000569";"0,001022";"0,000097"
blindfolded;"0,000369";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
disquisition;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
oeuvre;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
behavior;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
enthralling;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
himself—“It’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
descend;"0,000000";"0,000124";"0,000686";"0,000000";"0,000379";"0,000000";"0,000584"
flavour;"0,000184";"0,000000";"0,000000";"0,000000";"0,000284";"0,000341";"0,000000"
slay;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000195"
evenings;"0,000000";"0,000248";"0,000000";"0,000638";"0,000000";"0,000000";"0,000000"
superlative;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000097"
gentlemanlike;"0,000000";"0,000000";"0,000000";"0,001276";"0,000000";"0,000000";"0,000097"
onset;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000292"
bridles;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
slam;"0,000000";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
pagoda;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000195"
descent;"0,000184";"0,000124";"0,000549";"0,000479";"0,000474";"0,000000";"0,000146"
assiduous;"0,000000";"0,000000";"0,000000";"0,000160";"0,000000";"0,000000";"0,000000"
plundered;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
upside;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
scratched;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
Flask—you;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
vainly;"0,000000";"0,000124";"0,000549";"0,000000";"0,000095";"0,000000";"0,000292"
clumsiest;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
slap;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
there—what’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
screening;"0,000000";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
eager;"0,000184";"0,000745";"0,000549";"0,001914";"0,000474";"0,001022";"0,000632"
republic;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
repast;"0,000000";"0,000000";"0,000137";"0,000000";"0,000284";"0,000000";"0,000146"
Monsieur;"0,000000";"0,000000";"0,000000";"0,000000";"0,009103";"0,000000";"0,000340"
Miguel;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
sled;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
acclamation;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
cupboards;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000682";"0,000000"
overheated;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
