|  | Frankenstein.txt |
| domestic | 5.551731E-5 |
| shook | 1.1103462E-5 |
| There | 1.8875886E-4 |
| dying | 6.662077E-5 |
| paying | 3.3310385E-5 |
| fellows | 3.3310385E-5 |
| blows | 3.3310385E-5 |
| This | 8.1055274E-4 |
| donation | 1.1103462E-5 |
| actual | 2.2206925E-5 |
| eastern | 2.2206925E-5 |
| reflection | 1.44345E-4 |
| jacket | 1.1103462E-5 |
| surprising | 2.2206925E-5 |
| exposing | 1.1103462E-5 |
| These | 1.8875886E-4 |
| suited | 2.2206925E-5 |
| pacing | 1.1103462E-5 |
| adorned | 1.1103462E-5 |
| assume | 1.1103462E-5 |
| Seek | 1.1103462E-5 |
| furies | 1.1103462E-5 |
| Italian | 2.2206925E-5 |
| memory | 1.8875886E-4 |
| concept | 2.2206925E-5 |
| banish | 3.3310385E-5 |
| house | 4.3303502E-4 |
| disaster | 4.441385E-5 |
| starry | 1.1103462E-5 |
| words—rather | 1.1103462E-5 |
| progeny | 1.1103462E-5 |
| attends | 1.1103462E-5 |
| mountains—they | 1.1103462E-5 |
| stare | 1.1103462E-5 |
| construed | 1.1103462E-5 |
| gentleness | 1.1103462E-4 |
| anon | 1.1103462E-5 |
| hours | 3.7751772E-4 |
| unjust | 2.2206925E-5 |
| opposing | 1.1103462E-5 |
| shore | 1.6655194E-4 |
| roarings | 2.2206925E-5 |
| start | 1.1103462E-5 |
| “Maybe | 1.1103462E-5 |
| stars | 1.2213808E-4 |
| earliest | 3.3310385E-5 |
| restorative | 1.1103462E-5 |
| wrung | 1.1103462E-5 |
| fallen | 9.993116E-5 |
| ‘By | 1.1103462E-5 |
| short | 1.8875886E-4 |
| illuminated | 2.2206925E-5 |
| replete | 3.3310385E-5 |
| measured | 1.1103462E-5 |
| regulate | 2.2206925E-5 |
| obstacles | 1.1103462E-5 |
| listless | 2.2206925E-5 |
| PARAGRAPH | 1.1103462E-5 |
| imagined | 9.993116E-5 |
| trains | 1.1103462E-5 |
| required | 7.772423E-5 |
| CONSEQUENTIAL | 1.1103462E-5 |
| Greece | 2.2206925E-5 |
| confessing | 1.1103462E-5 |
| measures | 2.2206925E-5 |
| golden | 1.1103462E-5 |
| debilitated | 1.1103462E-5 |
| attain | 1.1103462E-5 |
| enter | 2.1096578E-4 |
| restoration | 1.1103462E-5 |
| gallery | 1.1103462E-5 |
| furiously | 1.1103462E-5 |
| flowers | 5.551731E-5 |
| warmth | 1.2213808E-4 |
| flowery | 1.1103462E-5 |
| INCIDENTAL | 1.1103462E-5 |
| destroy | 2.4427616E-4 |
| wretch | 2.5537962E-4 |
| dates | 1.1103462E-5 |
| deemed | 4.441385E-5 |
| ‘If | 1.1103462E-5 |
| Frozen | 1.1103462E-5 |
| coast | 1.1103462E-5 |
| telescopes | 1.1103462E-5 |
| Finding | 1.1103462E-5 |
| sorrows | 4.441385E-5 |
| requires | 4.441385E-5 |
| remissness | 1.1103462E-5 |
| NOTICE | 1.1103462E-5 |
| redistribute | 1.1103462E-5 |
| bright | 7.772423E-5 |
| consume | 3.3310385E-5 |
| benefactor | 2.2206925E-5 |
| unknown | 7.772423E-5 |
| assure | 5.551731E-5 |
| mildly | 1.1103462E-5 |
| manners | 2.1096578E-4 |
| motionless | 6.662077E-5 |
| survive | 6.662077E-5 |
| wallet | 1.1103462E-5 |
| dæmon’s | 1.1103462E-5 |
| bedside | 1.1103462E-5 |
| performed | 9.993116E-5 |
| precarious | 2.2206925E-5 |
| adversary | 5.551731E-5 |
| persuasions | 2.2206925E-5 |
| idleness | 2.2206925E-5 |
| transversely | 1.1103462E-5 |
| hanging | 7.772423E-5 |
| cling | 3.3310385E-5 |
| outlines | 1.1103462E-5 |
| mountain’s | 1.1103462E-5 |
| “Now | 1.1103462E-5 |
| audibly | 1.1103462E-5 |
| compact | 1.1103462E-5 |
| speedy | 1.1103462E-5 |
| possession | 9.993116E-5 |
| tell | 9.993116E-5 |
| shores | 5.551731E-5 |
| flames | 2.2206925E-5 |
| bloom | 3.3310385E-5 |
| shown | 4.441385E-5 |
| celebrated | 2.2206925E-5 |
| audible | 2.2206925E-5 |
| forcibly | 3.3310385E-5 |
| pointing | 2.2206925E-5 |
| majesty | 2.2206925E-5 |
| day | 8.6607004E-4 |
| accustomed | 1.1103462E-4 |
| raising | 1.1103462E-5 |
| toned | 1.1103462E-5 |
| island | 5.551731E-5 |
| created | 1.5544846E-4 |
| format | 4.441385E-5 |
| EXCEPT | 1.1103462E-5 |
| water | 1.8875886E-4 |
| instructor | 1.1103462E-5 |
| countless | 1.1103462E-5 |
| forcible | 1.1103462E-5 |
| pierced | 1.1103462E-5 |
| torrents | 2.2206925E-5 |
| creates | 1.1103462E-5 |
| sobbed | 2.2206925E-5 |
| infusing | 1.1103462E-5 |
| entertain | 1.1103462E-5 |
| Beaufort’s | 1.1103462E-5 |
| condemns | 1.1103462E-5 |
| critical | 2.2206925E-5 |
| sakes | 1.1103462E-5 |
| thickened | 1.1103462E-5 |
| modulated | 1.1103462E-5 |
| tend | 1.1103462E-5 |
| exceedingly | 2.2206925E-5 |
| guarded | 2.2206925E-5 |
| declining | 1.1103462E-5 |
| equitable | 1.1103462E-5 |
| beaming | 2.2206925E-5 |
| sixteen | 1.1103462E-5 |
| tones | 3.3310385E-5 |
| specimen | 1.1103462E-5 |
| dated | 3.3310385E-5 |
| possessing | 1.1103462E-5 |
| exotic | 1.1103462E-5 |
| hinges | 1.1103462E-5 |
| endowed | 4.441385E-5 |
| introduction | 3.3310385E-5 |
| heaving | 1.1103462E-5 |
| orientalists | 1.1103462E-5 |
| revenge | 2.4427616E-4 |
| built | 2.2206925E-5 |
| subscribe | 1.1103462E-5 |
| burdened | 1.1103462E-5 |
| lectures | 3.3310385E-5 |
| heavily | 3.3310385E-5 |
| entertained | 3.3310385E-5 |
| fellowship | 1.1103462E-5 |
| colleague | 1.1103462E-5 |
| Werter’s | 1.1103462E-5 |
| cottagers | 2.4427616E-4 |
| third | 2.2206925E-5 |
| confession | 1.1103462E-5 |
| further | 2.2206925E-5 |
| demands | 1.1103462E-5 |
| dearest | 1.776554E-4 |
| mischances | 1.1103462E-5 |
| instigate | 1.1103462E-5 |
| Prometheus | 2.2206925E-5 |
| Much | 1.1103462E-5 |
| “this | 1.1103462E-5 |
| Towards | 1.1103462E-5 |
| flushed | 2.2206925E-5 |
| viewing | 1.1103462E-5 |
| finds | 1.1103462E-5 |
| Thus | 1.6655194E-4 |
| unsympathised | 1.1103462E-5 |
| dew | 1.1103462E-5 |
| angelic | 3.3310385E-5 |
| examining | 3.3310385E-5 |
| swelled | 3.3310385E-5 |
| Montalègre | 1.1103462E-5 |
| prejudices | 2.2206925E-5 |
| apparition | 5.551731E-5 |
| going | 8.88277E-5 |
| carefully | 3.3310385E-5 |
| banks | 8.88277E-5 |
| “Felix | 4.441385E-5 |
| Angel | 1.1103462E-5 |
| “‘How | 1.1103462E-5 |
| shock | 4.441385E-5 |
| grate | 1.1103462E-5 |
| ashes | 2.2206925E-5 |
| scaring | 1.1103462E-5 |
| Arab | 1.1103462E-5 |
| Sea | 2.2206925E-5 |
| prejudiced | 2.2206925E-5 |
| Here | 5.551731E-5 |
